metric	best_noise_level	best_layer	best_gain	worst_noise_level	worst_layer	worst_gain
patch_miou	0.0	5	0.17716225000000002	0.9	8	-0.09492256999999998
boundary_f1	0.1	12	0.20440328999999996	1.0	8	-0.15851826999999996
objectness_iou	0.0	7	0.37396486	1.0	3	-0.20467518
lds	0.8	7	0.10425308999999999	0.0	5	-0.06065574000000001
cds	0.9	7	0.00567882	0.0	4	-0.00509372
rmsc	0.0	7	0.48525124999999997	0.0	5	-0.47497427000000003
lgr	0.3	7	3.54729766	0.0	5	-0.74475224
msdr	0.6	6	0.18188103	0.6	17	-0.038571929999999977
graph_gap	0.3	2	0.09896630000000001	0.4	12	-0.0963128
ubc	0.9	22	0.046184420000000004	0.3	2	-0.07282654
hf_ratio	0.6	6	0.060000769999999995	0.5	17	-0.006080899999999999
